18200000,8313333.33333333,4196666.66666667,2130000,844000,423666.666666667,215000,91133.3333333333,53100,37166.6666666667,33800
20066666.6666667,9150000,4633333.33333333,2376666.66666667,942000,470000,237000,97333.3333333333,52733.3333333333,33233.3333333333,28933.3333333333
21066666.6666667,9626666.66666667,4873333.33333333,2503333.33333333,988333.333333333,495000,249000,102333.333333333,55233.3333333333,34633.3333333333,30300
20600000,9406666.66666667,4770000,2443333.33333333,965666.666666667,483000,243000,100166.666666667,54166.6666666667,34233.3333333333,30466.6666666667
20833333.3333333,9530000,4833333.33333333,2476666.66666667,982000,490000,246333.333333333,101233.333333333,54166.6666666667,33700,29433.3333333333
19700000,9016666.66666667,4573333.33333333,2336666.66666667,923666.666666667,461666.666666667,232666.666666667,95966.6666666667,51966.6666666667,32933.3333333333,29500
19566666.6666667,8933333.33333333,4523333.33333333,2316666.66666667,915000,458333.333333333,230333.333333333,95433.3333333333,52233.3333333333,33966.6666666667,31666.6666666667
18633333.3333333,8523333.33333333,4320000,2216666.66666667,880000,438666.666666667,222000,93966.6666666667,54500,38466.6666666667,37366.6666666667
19300000,8793333.33333334,4460000,2286666.66666667,905666.666666667,452333.333333333,228000,94166.6666666667,51400,33066.6666666667,30366.6666666667
19033333.3333333,8666666.66666667,4383333.33333333,2246666.66666667,886333.333333333,444666.666666667,224333.333333333,93500,51800,34366.6666666667,32500
18266666.6666667,8356666.66666667,4273333.33333333,2206666.66666667,945333.333333333,549333.333333333,360333.333333333,212000,149333.333333333,115666.666666667,104166.666666667
18133333.3333333,8316666.66666667,4206666.66666667,2156666.66666667,856666.666666667,429333.333333333,219333.333333333,98933.3333333333,64866.6666666667,52200,53833.3333333333
18966666.6666667,8670000,4393333.33333333,2250000,889666.666666667,445000,224000,92800,50833.3333333333,32966.6666666667,29966.6666666667
22333333.3333333,10166666.6666667,5190000,2660000,1090000,594333.333333333,358666.666666667,220666.666666667,174333.333333333,147000,139000
25866666.6666667,11866666.6666667,6023333.33333333,3080000,1223333.33333333,610333.333333333,306666.666666667,125666.666666667,67900,42733.3333333333,36466.6666666667
19866666.6666667,9090000,4606666.66666667,2360000,934333.333333333,467000,234666.666666667,96633.3333333333,52100,32766.6666666667,27966.6666666667
20300000,9286666.66666667,4710000,2410000,954666.666666667,477333.333333333,240666.666666667,100333.333333333,55700,37033.3333333333,32766.6666666667
20333333.3333333,9270000,4696666.66666667,2413333.33333333,955333.333333333,477333.333333333,240666.666666667,100533.333333333,56633.3333333333,38400,33833.3333333333
26866666.6666667,12266666.6666667,6233333.33333333,3183333.33333333,1256666.66666667,630666.666666667,317000,129666.666666667,69533.3333333333,43100,34633.3333333333
26400000,12100000,6136666.66666667,3130000,1240000,619666.666666667,311666.666666667,126666.666666667,66933.3333333333,40300,30966.6666666667
19066666.6666667,8700000,4410000,2256666.66666667,894333.333333333,447000,225000,93066.6666666667,50766.6666666667,32566.6666666667,27300
18900000,8646666.66666667,4373333.33333333,2243333.33333333,884666.666666667,443333.333333333,223333.333333333,92533.3333333333,50733.3333333333,32733.3333333333,27000
22333333.3333333,10190000,5163333.33333333,2643333.33333333,1046666.66666667,522333.333333333,263000,108000,58533.3333333333,36800,29200
20066666.6666667,9183333.33333333,4646666.66666667,2380000,942333.333333333,470666.666666667,237333.333333333,98233.3333333333,53633.3333333333,34500,28000
